"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"0026150120","TARRO LISO  [26150120]","Pluviométrica","Convencional","Suspendida","Caldas","Manizales","    (-75.7, 5.066666667)","1,000","-75.7","5.066666667","15/09/1967","15/03/1969","Area Operativa 09 - Cauca-Valle-Caldas",,"Magdalena Cauca","Cauca","Río Otún y otros directos al Cauca","FEDERACIÓN NACIONAL DE CAFETEROS"
"0014015000","REFINERIA DE CARTAGENA  - AUT  [14015000]","Climatológica Principal","Automática con Telemetría","Activa","Bolivar","Cartagena De Indias","    (-73.51666667, 9.266666667)","8","-73.51666667","9.266666667",,,"Area Operativa 02 - Atlántico-Bolivar-Sucre",,"Magdalena Cauca","Cesar","Bajo Cesar","REFINERÍA DE CARTAGENA S.A."
"0021207170","REGADERA REBOSADER  [21207170]","Limnimétrica","Convencional","Activa","Bogotá","Bogotá, D.C","    (-74.15, 4.4)","2,590","-74.15","4.4","15/01/1939",,"Area Operativa 11 - Cundinamarca-Amazonas","TUNJUELO","Magdalena Cauca","Alto Magdalena","Río Bogotá","EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P"
"3502700272","QUEBRADA LA CABRA CUENCA ALTA [3502700272]","Limnimétrica","Convencional","Activa","Cundinamarca","Fómeque","    (-73.863055556, 4.419611111)","2,278","-73.863055556","4.419611111","19/02/2015",,"Area Operativa 11 - Cundinamarca-Amazonas","QUEBRADA LA CABRA","Orinoco","Meta","Río Guayuriba","CORPORACION AUTÓNOMA REGIONAL DEL GUAVIO"
"2302500237","MONTEBONITO [2302500237]","Pluviométrica","Automática con Telemetría","Activa","Caldas","Marulanda","    (-75.195715833, 5.168183333)","2,020","-75.195715833","5.168183333","28/01/2012",,"Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Medio Magdalena","Río Guarinó","ISAGEN  S.A. E.S.P"
"2905500389","SFF EL CORCHAL  AUT - [2905500389]","Climatológica Ordinaria","Automática con Telemetría","Activa","Sucre","San Onofre","    (-75.545127778, 9.986413889)","1,000","-75.545127778","9.986413889","13/08/2018",,"Area Operativa 02 - Atlántico-Bolivar-Sucre",,"Magdalena Cauca","Bajo Magdalena","Canal del Dique margen izquierda","PARQUES NACIONALES NATURALES"
"0027017480","BOCAS DE CANA [27017480]","Limnimétrica","Convencional","Suspendida","Antioquia","Anorí","    (-74.91666667, 7.4)","250","-74.91666667","7.4","15/10/1974","15/02/1976","Area Operativa 01 - Antioquia-Chocó","PORCE","Magdalena Cauca","Nechí","Río Porce","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0053117050","CISNEROS - AUT [53117050]","Limnigráfica","Automática con Telemetría","Activa","Valle Del Cauca","Dagua","    (-76.761452778, 3.777513889)","373","-76.761452778","3.777513889","01/07/2017",,"Area Operativa 09 - Cauca-Valle-Caldas","DAGUA","Pacifico","Tapaje - Dagua - Directos","Dagua - Buenaventura - Bahia Málaga","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA"
"0025028450","TACAMOCHO I [25028450]","Limnimétrica","Convencional","En Mantenimiento","Bolivar","Córdoba","    (-74.73555556, 9.433888889)","16","-74.73555556","9.433888889","24/03/2011",,"Area Operativa 02 - Atlántico-Bolivar-Sucre","MAGDALENA","Magdalena Cauca","Bajo Magdalena","Directos Bajo Magdalena entre El Banco y El Plato","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0023197370","SAN RAFAEL [23197370]","Limnimétrica","Automática con Telemetría, Convencional","En Mantenimiento","Santander","Sabana De Torres","    (-73.56055556, 7.578055556)","78","-73.56055556","7.578055556","15/10/1974",,"Area Operativa 08 - Santanderes-Arauca","LEBRIJA","Magdalena Cauca","Medio Magdalena","Río Lebrija y otros directos al Magdalena","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
