layer,distance,elevation
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3152.94780063633,2559.66650390625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3182.72956383059,2561.13940429688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3214.22341969887,2562.16772460938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3219.56984440538,2560.05493164062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3252.15119812764,2559.36889648438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3279.14826467356,2560.3759765625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3297.77359978812,2558.46801757812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3322.00880681203,2559.73950195312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3347.31257010043,2559.93432617188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3365.38059154935,2560.46240234375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3389.33154349263,2560.46240234375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3411.08029808861,2559.8427734375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3426.81256125696,2565.26806640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3452.77412190544,2565.26806640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3480.98610501824,2560.84887695312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3503.14806119878,2561.25732421875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3523.18885539119,2558.9189453125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3552.66529329115,2559.8818359375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3561.32178137249,2566.26000976562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3588.69871064626,2564.734375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3620.31071519743,2564.35913085938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3650.73225715988,2561.77075195312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3681.90370487521,2560.01489257812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3708.12262355281,2559.85424804688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3726.40398730183,2563.89428710938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3747.97160672728,2559.95336914062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3775.12172787416,2560.7919921875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3806.64480297826,2560.85864257812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3837.3178593466,2559.9384765625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3867.73253649162,2559.95043945312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3899.71190707746,2559.95043945312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3924.93227625522,2560.1220703125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3951.19432513973,2560.1220703125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3981.78906352765,2559.83422851562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4015.08425359666,2559.70434570312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4046.38112053397,2559.59936523438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4071.04357424322,2559.15502929688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4089.47603167851,2559.43408203125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4111.71114699218,2559.70825195312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4136.53064776141,2561.44506835938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4165.69613072374,2558.77783203125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4192.15243773938,2559.173828125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4213.36568832331,2561.0732421875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,4244.80234150243,2561.60205078125
