name,Decade,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W1,1970,10,10,0.0346635633419885,0.0492120449586457,0.0145484816166572,0.428484860206173,0.0428484860206173,0.0421504525002087,0.00423912247275212,0.0346635633419885,0.0346635633419885,0.040557951976855,0.0461066851081943,0.0055487331313393
W3,1970,10,10,0.0407815106290573,0.0556358830072981,0.0148543723782408,0.493423915914929,0.0493423915914929,0.0475470209091167,0.00452689585285863,0.0407815106290573,0.0407815106290573,0.0466673574313271,0.0540586253862914,0.0073912679549643
W21,1970,10,10,0.0417972488514936,0.0593496659887047,0.0175524171372111,0.519847988286838,0.0519847988286838,0.051796742597027,0.00483464381184598,0.0417972488514936,0.0417972488514936,0.0500117912757668,0.0558781031872413,0.0058663119114745
W13,1970,10,10,0.0352122064550467,0.0538838717979854,0.0186716653429387,0.451908722130166,0.0451908722130166,0.0442761046205541,0.00543656973850092,0.0352122064550467,0.0352122064550467,0.0410199773327918,0.0486922600198252,0.0076722826870334
W27,1970,10,10,0.0371843431785232,0.0569736931938673,0.0197893500153441,0.469936076289736,0.0469936076289736,0.0452206875197585,0.00565678457659409,0.0371843431785232,0.0371843431785232,0.0437276330194431,0.0515288099413733,0.0078011769219302
W19,1970,10,10,0.0450202770714029,0.0639405044777368,0.0189202274063339,0.540160176864179,0.0540160176864179,0.0534487067520226,0.0063004576055574,0.0450202770714029,0.0450202770714029,0.0491631630703155,0.0594046749831552,0.0102415119128397
W2,1970,10,10,0.0600751644621288,0.0884406892582771,0.0283655247961483,0.729696941794823,0.0729696941794823,0.0705236014521987,0.00996435165116593,0.0600751644621288,0.0600751644621288,0.0631655020018413,0.0823579148078954,0.0191924128060541
W11,1970,10,10,0.0512141018803326,0.0728984943024129,0.0216843924220803,0.608394843057498,0.0608394843057498,0.0593047523976898,0.00796345909249375,0.0512141018803326,0.0512141018803326,0.0531328452270637,0.0675813007802014,0.0144484555531377
W26,1970,10,10,0.0438786024720539,0.0646048442943316,0.0207262418222777,0.534364958172574,0.0534364958172574,0.0529504462372251,0.00649302331580921,0.0438786024720539,0.0438786024720539,0.0479619874764678,0.0587153991006886,0.0107534116242208
W20,1970,10,10,0.0514497807277189,0.0725772131588891,0.0211274324311702,0.612817995246417,0.0612817995246417,0.0612307145007998,0.00770686056110994,0.0514497807277189,0.0514497807277189,0.0528965994473796,0.0679185246118811,0.0150219251645015
W6,1970,10,10,0.0323558008531103,0.0493995960957058,0.0170437952425955,0.424866998257731,0.0424866998257731,0.0422498558570314,0.00490099464867432,0.0323558008531103,0.0323558008531103,0.0399197468456496,0.0473708185988163,0.0074510717531667
W32,1970,10,10,0.0451385150911473,0.0662149859415148,0.0210764708503675,0.551308615317001,0.0551308615317001,0.0554166360133112,0.00684344290881123,0.0451385150911473,0.0451385150911473,0.0482363152908621,0.0608700724896149,0.0126337571987528
W12,1970,10,10,0.0587122389798578,0.0793689530909503,0.0206567141110925,0.685550609413921,0.0685550609413921,0.0694716653846272,0.00768139587699644,0.0587122389798578,0.0587122389798578,0.0590681601956906,0.0757200782091004,0.0166519180134098
